Ranking,University Name,Country,Website,Address,Year of foundation,Source
101-150,Radboud University Nijmegen,Netherlands,http://www.ru.nl,Comeniuslaan 4,1923,
101-150,Seoul National University,SouthKorea,http://www.snu.ac.kr,"Seoul National University, San 56-1, Sillim-dong, Gwanak-gu, Seoul 151-742, Korea, Republic of",1946,
101-150,Shanghai Jiao Tong University,China,http://www.sjtu.edu.cn/,800 Dongchuan Road,1896,
101-150,Texas A&M University,USA,http://tamu.edu,George Bush Drive,1876,
101-150,The Hebrew University of Jerusalem,Israel,http://www.huji.ac.il/,Mount Scopus,1925,
101-150,The University of Adelaide,Australia,http://www.adelaide.edu.au,North Terrace,1874,
101-150,The University of Glasgow,UK,http://www.gla.ac.uk/,University Avenue,1451,
101-150,The University of Hong Kong,China-hk,http://www.hku.hk,Pokfulam Road,1911,
101-150,The University of New South Wales,Australia,http://www.unsw.edu.au,High St,1949,
101-150,The University of Sheffield,UK,http://www.sheffield.ac.uk,Western Bank,1905,
101-150,The University of Texas M. D. Anderson Cancer Center,USA,http://mdanderson.org/,"The University of Texas M. D. Anderson Cancer Center, 1515 Holcombe Blvd, Houston, TX 77030, USA",1941,
101-150,Tohoku University,Japan,http://www.tohoku.ac.jp/english/,"2-1-1 Katahira, Aoba-ku",1907,
101-150,University of Alberta,Canada,http://www.ualberta.ca/,"University of Alberta - Office of Public Affairs, 6th floor, General Services Building, University of Alberta",1908,
101-150,University of Amsterdam,Netherlands,http://www.uva.nl/en/home,Spui 21,1632,
101-150,University of Bern,Switzerland,http://www.unibe.ch,"Universität Bern, Hochschulstrasse 4, 3012 Bern, Switzerland",1528,
101-150,University of Birmingham,UK,http://www.birmingham.ac.uk,Edgbaston Park Road,1900,
101-150,University of Bonn,Germany,http://www3.uni-bonn.de/,Regina-Pacis-Weg 3,1818,
101-150,University of Frankfurt,Germany,http://www.uni-frankfurt.de,"Johann Wolfgang Goethe-Universität Frankfurt am Main, PO Box 111932, Senckenberganlage 31, 60054 Frankfurt am Main, Germany",1914,
101-150,University of Freiburg,Germany,http://www.uni-freiburg.de/,"Albert-Ludwigs-Universität Freiburg, Freiburg im Breisgau, Germany",1457,
101-150,University of Leeds,UK,http://www.leeds.ac.uk,"University of Leeds, EC Stoner Building, Leeds, LS2 9JT, United Kingdom",1904,
101-150,University of Liverpool,UK,http://www.liv.ac.uk/,Brownlow Hill,1881,
101-150,University of Nottingham,UK,http://www.nottingham.ac.uk/,"University of Nottingham, University Park, Nottingham, NG7 2RD, United Kingdom",1881,
101-150,University of Rochester,USA,http://www.rochester.edu,"University of Rochester, Rochester, N.Y. 14627, United States of America",1850,
101-150,University of Science and Technology of China,China,http://www.ustc.edu.cn,"No.96, JinZhai Road Baohe District",1958,
101-150,University of Southampton,UK,http://www.southampton.ac.uk,University Road,1862,
101-150,University of Strasbourg,France,http://www.unistra.fr,4 rue Blaise Pascal,1537,
101-150,University of Utah,USA,http://www.utah.edu,201 Presidents Circle,1850,
101-150,University of Wageningen,Netherlands,http://www.wur.nl,"Wageningen Universiteit en Researchcentrum, Postbus 9101, Costerweg 50, 6700 BH Wageningen, Netherlands",1876,
101-150,University of Warwick,UK,http://www.warwick.ac.uk,"University of Warwick, Coventry, CV4 8UW, United Kingdom",1965,
101-150,University Paris Diderot - Paris 7,France,http://www.univ-paris-diderot.fr,"5, rue Thomas Mann","12th,c",
101-150,VU University Amsterdam,Netherlands,http://www.vu.nl/en,De Boelelaan 1105,1880,
101-150,Weizmann Institute of Science,Israel,http://www.weizmann.ac.il,Herzl St. 2,1934,
101-150,Zhejiang University,China,http://www.zju.edu.cn,866 Yuhangtang Road,1897,
151-200,China Medical University (Taichung),China-tw,http://english.cmu.edu.tw,No.91 Hsueh-Shih Road,,
151-200,Curtin University,Australia,http://www.curtin.edu.au/,Kent Street,1987,
151-200,Delft University of Technology,Netherlands,http://www.tudelft.nl,"Technische Universiteit Delft, Postbus 5, 2600 AA Delft, Netherlands",1842,
